Nombre;Fecha;Competicion;Jornadas;Titular;Minutos;Goles;Asistencias;Tiros;Tiros a puerta;Amarila;Roja;Toques;Presion;Entradas;Intercepciones;Bloqueos
Joselu;20/08/2017;Premier League;1;N;39;0;0;4;4;1;0;20;6;0;0;0
Joselu;26/08/2017;Premier League;2;Y;71;1;0;2;1;0;0;33;22;1;0;3
Joselu;10/09/2017;Premier League;3;Y;77;0;0;6;4;0;0;45;17;0;0;1
Joselu;16/09/2017;Premier League;4;Y;77;0;0;5;1;0;0;28;13;0;1;0
Joselu;24/09/2017;Premier League;5;Y;70;0;0;2;0;0;0;17;9;1;0;1
Joselu;01/10/2017;Premier League;6;Y;78;1;0;1;1;0;0;28;19;2;0;2
Joselu;15/10/2017;Premier League;7;Y;67;0;0;2;0;0;0;21;12;1;0;1
Joselu;21/10/2017;Premier League;8;Y;77;0;0;0;0;1;0;26;26;0;1;0
Joselu;30/10/2017;Premier League;9;Y;90;0;0;2;0;0;0;44;23;2;0;2
Joselu;04/11/2017;Premier League;10;Y;67;0;0;3;2;0;0;41;11;1;1;2
Joselu;18/11/2017;Premier League;11;Y;70;0;0;0;0;0;0;40;3;1;1;2
Joselu;25/11/2017;Premier League;12;Y;68;0;0;3;1;0;0;35;9;1;2;2
Joselu;28/11/2017;Premier League;13;Y;72;0;0;1;0;0;0;48;16;0;2;3
Joselu;09/12/2017;Premier League;14;Y;87;1;0;2;1;0;0;35;14;1;1;0
Joselu;13/12/2017;Premier League;15;N;24;0;0;0;0;0;0;10;0;0;0;1
Joselu;16/12/2017;Premier League;16;Y;90;0;0;1;0;0;0;52;19;1;1;0
Joselu;23/12/2017;Premier League;17;Y;90;0;1;0;0;0;0;47;17;3;0;1
Joselu;27/12/2017;Premier League;18;Y;61;0;0;0;0;0;0;27;12;0;0;3
Joselu;30/12/2017;Premier League;19;Y;83;0;0;3;0;0;0;41;15;0;0;1
Joselu;13/01/2018;Premier League;20;N;27;1;0;1;1;0;0;11;5;0;0;0
Joselu;20/01/2018;Premier League;21;Y;75;0;0;0;0;0;0;29;16;2;0;0
Joselu;31/01/2018;Premier League;22;Y;90;0;0;2;0;0;0;46;16;0;1;2
Joselu;11/02/2018;Premier League;23;N;11;0;0;0;0;0;0;13;5;0;0;0
Joselu;03/03/2018;Premier League;24;N;25;0;0;2;0;0;0;10;1;1;0;0
Joselu;10/03/2018;Premier League;25;N;22;0;0;0;0;0;0;19;9;1;1;1
Joselu;07/04/2018;Premier League;26;N;21;0;0;0;0;0;0;12;2;1;0;0
